unique number|date|Topic|english|korean|chinese|dutch|korean audio|dutch audio|images
1|2020 01 22|family|family|가족||familie|[sound:가족.mp3]|[sound:familie.mp3]|[image:family.png]
2|2020 01 22|family|I|나||ik|[sound:나.mp3]|[sound:ik.mp3]|[image:I.png]
3|2020 01 22|family|Grandma|할머니||oma|[sound:할머니.mp3]|[sound:oma.mp3]|[image:Grandma.png]
4|2020 01 22|family|Grandpa|할아버지||opa|[sound:할아버지.mp3]|[sound:opa.mp3]|[image:Grandpa.png]
5|2020 01 22|family|Mom|엄마||mama|[sound:엄마.mp3]|[sound:mama.mp3]|[image:Mom.png]
6|2020 01 22|family|Dad|아빠||papa|[sound:아빠.mp3]|[sound:papa.mp3]|[image:Dad.png]
7|2020 01 22|family|Older Sister|누나||zus|[sound:누나.mp3]|[sound:zus.mp3]|[image:Older Sister.png]
7|2020 01 22|family|Older Sister|언니||zus|[sound:언니.mp3]|[sound:zus.mp3]|[image:Older Sister.png]
8|2020 01 22|family|Older Brother|형||broer|[sound:형.mp3]|[sound:broer.mp3]|[image:Older Brother.png]
8|2020 01 22|family|Older Brother|오빠||broer|[sound:오빠.mp3]|[sound:broer.mp3]|[image:Older Brother.png]
9|2020 01 22|family|Younger Brother|남동생||zusje|[sound:남동생.mp3]|[sound:zusje.mp3]|[image:Younger Brother.png]
10|2020 01 22|family|Younger Sister|여동생||broertje|[sound:여동생.mp3]|[sound:broertje.mp3]|[image:Younger Sister.png]
11|2020 01 22|family|Husband|남편||man|[sound:남편.mp3]|[sound:man.mp3]|[image:Husband.png]
12|2020 01 22|family|Wife|아내||vrouw|[sound:아내.mp3]|[sound:vrouw.mp3]|[image:Wife.png]
13|2020 01 22|geography|Country|나라||landen|[sound:나라.mp3]|[sound:landen.mp3]|[image:Country.png]
13|2020 01 22|geography|Country|국가||landen|[sound:국가.mp3]|[sound:landen.mp3]|[image:Country.png]
14|2020 01 22|geography|Korean|한국||Korea|[sound:한국.mp3]|[sound:Korea.mp3]|[image:Korean.png]
15|2020 01 22|geography|Spain|스페인||Spanje|[sound:스페인.mp3]|[sound:Spanje.mp3]|[image:Spain.png]
16|2020 01 22|geography|Canada|캐나다||canada|[sound:캐나다.mp3]|[sound:canada.mp3]|[image:Canada.png]
17|2020 01 22|geography|Itali|아일랜드||Italië|[sound:아일랜드.mp3]|[sound:Italië.mp3]|[image:Itali.png]
18|2020 01 22|geography|Surinam|수리남||Suriname|[sound:수리남.mp3]|[sound:Suriname.mp3]|[image:Surinam.png]
19|2020 01 22|geography|Netherlands|네덜란드||Nederland|[sound:네덜란드.mp3]|[sound:Nederland.mp3]|[image:Netherlands.png]
20|2020 01 22|geography|China|중국||China|[sound:중국.mp3]|[sound:China.mp3]|[image:China.png]
21|2020 01 22|geography|Australia|호주||Australië|[sound:호주.mp3]|[sound:Australië.mp3]|[image:Australia.png]
22|2020 01 22|geography|Mexico|멕시코||Mexico|[sound:멕시코.mp3]|[sound:Mexico.mp3]|[image:Mexico.png]
23|2020 01 22|numbers,time,age|6 years|6년||6 jaar|[sound:6년.mp3]|[sound:6 jaar.mp3]|[image:6 years.png]
24|2020 01 22|numbers,time,age|3 years|3년||3 jaar|[sound:3년.mp3]|[sound:3 jaar.mp3]|[image:3 years.png]
26|2020 01 22|numbers,time,age|4 years|4년||4 jaar|[sound:4년.mp3]|[sound:4 jaar.mp3]|[image:4 years.png]
27|2020 01 29|colors|color|색||kleur|[sound:색.mp3]|[sound:kleur.mp3]|[image:color.png]
28|2020 01 29|colors|Orange is orange.|오렌지는 주황색이에요.||De sinaasappel is oranje.|[sound:오렌지는 주황색이에요..mp3]|[sound:De sinaasappel is oranje..mp3]|[image:Orange is orange..png]
29|2020 01 29|colors|The strawberry is red.|딸기는 빨간색이에요.||De aardbei is rood.|[sound:딸기는 빨간색이에요..mp3]|[sound:De aardbei is rood..mp3]|[image:The strawberry is red..png]
30|2020 01 29|colors|The lemon is yellow.|레몬은 노란색이에요.||De citroen is geel.|[sound:레몬은 노란색이에요..mp3]|[sound:De citroen is geel..mp3]|[image:The lemon is yellow..png]
31|2020 01 29|colors|The tomato is red.|토마토는 빨간색이에요.||De tomaat is rood.|[sound:토마토는 빨간색이에요..mp3]|[sound:De tomaat is rood..mp3]|[image:The tomato is red..png]
32|2020 01 29|colors|The Cucumber is green.|오이는 초록색이에요.||De Komkommer is groen.|[sound:오이는 초록색이에요..mp3]|[sound:De Komkommer is groen..mp3]|[image:The Cucumber is green..png]
33|2020 01 29|colors|The grapes are purple.|포도는 보라색이에요.||De druiven zijn paars.|[sound:포도는 보라색이에요..mp3]|[sound:De druiven zijn paars..mp3]|[image:The grapes are purple..png]
34|2020 01 29|colors|The Blueberries are blue.|블루베리는 파란색이에요.||De Bosbessen zijn blauw.|[sound:블루베리는 파란색이에요..mp3]|[sound:De Bosbessen zijn blauw..mp3]|[image:The Blueberries are blue..png]
35|2020 01 29|colors|The flour is white.|밀가루는 흰색이에요.||De bloem is wit.|[sound:밀가루는 흰색이에요..mp3]|[sound:De bloem is wit..mp3]|[image:The flour is white..png]
36|2020 01 29|colors|The pepper is black.|후추는 검은색이에요.||De peper is zwart.|[sound:후추는 검은색이에요..mp3]|[sound:De peper is zwart..mp3]|[image:The pepper is black..png]
37|2020 01 29|colors|The Chocolate is brown.|초콜렛은 갈색이에요.||De Chocolade is bruin.|[sound:초콜렛은 갈색이에요..mp3]|[sound:De Chocolade is bruin..mp3]|[image:The Chocolate is brown..png]
38|2020 01 29|numbers,time,age|number|숫자||nummer|[sound:숫자.mp3]|[sound:nummer.mp3]|[image:number.png]
39|2020 01 29|numbers,time,age|time|시간||tijd|[sound:시간.mp3]|[sound:tijd.mp3]|[image:time.png]
40|2020 01 29|numbers,time,age|4:07 hours|4시 7분||16:07 uur|[sound:4시 7분.mp3]|[sound:16:07 uur.mp3]|[image:4:07 hours.png]
41|2020 01 29|numbers,time,age|zeven past four|네시 칠분||zeven over vier|[sound:네시 칠분.mp3]|[sound:zeven over vier.mp3]|[image:zeven past four.png]
42|2020 01 29|numbers,time,age|0  (Chinese)|||nul||[sound:nul.mp3]|[image:0  (Chinese).png]
43|2020 01 29|numbers,time,age|1 (Chinese)|일||één|[sound:일.mp3]|[sound:één.mp3]|[image:1 (Chinese).png]
44|2020 01 29|numbers,time,age|2 (Chinese)|이||twee|[sound:이.mp3]|[sound:twee.mp3]|[image:2 (Chinese).png]
45|2020 01 29|numbers,time,age|3 (Chinese)|삼||drie|[sound:삼.mp3]|[sound:drie.mp3]|[image:3 (Chinese).png]
46|2020 01 29|numbers,time,age|4 (Chinese)|사||vier|[sound:사.mp3]|[sound:vier.mp3]|[image:4 (Chinese).png]
47|2020 01 29|numbers,time,age|5 (Chinese)|오||vijf|[sound:오.mp3]|[sound:vijf.mp3]|[image:5 (Chinese).png]
48|2020 01 29|numbers,time,age|6 (Chinese)|육||zes|[sound:육.mp3]|[sound:zes.mp3]|[image:6 (Chinese).png]
49|2020 01 29|numbers,time,age|7 (Chinese)|칠||zeven|[sound:칠.mp3]|[sound:zeven.mp3]|[image:7 (Chinese).png]
50|2020 01 29|numbers,time,age|8 (Chinese)|팔||acht|[sound:팔.mp3]|[sound:acht.mp3]|[image:8 (Chinese).png]
51|2020 01 29|numbers,time,age|9 (Chinese)|구||negen|[sound:구.mp3]|[sound:negen.mp3]|[image:9 (Chinese).png]
52|2020 01 29|numbers,time,age|0  (Native)|||nul||[sound:nul.mp3]|[image:0  (Native).png]
53|2020 01 29|numbers,time,age|1 (Native)|하나||één|[sound:하나.mp3]|[sound:één.mp3]|[image:1 (Native).png]
54|2020 01 29|numbers,time,age|2 (Native)|둘||twee|[sound:둘.mp3]|[sound:twee.mp3]|[image:2 (Native).png]
55|2020 01 29|numbers,time,age|3 (Native)|셋||drie|[sound:셋.mp3]|[sound:drie.mp3]|[image:3 (Native).png]
56|2020 01 29|numbers,time,age|4 (Native)|넷||vier|[sound:넷.mp3]|[sound:vier.mp3]|[image:4 (Native).png]
57|2020 01 29|numbers,time,age|5 (Native)|다섯||vijf|[sound:다섯.mp3]|[sound:vijf.mp3]|[image:5 (Native).png]
58|2020 01 29|numbers,time,age|6 (Native)|여섯||zes|[sound:여섯.mp3]|[sound:zes.mp3]|[image:6 (Native).png]
59|2020 01 29|numbers,time,age|7 (Native)|일곱||zeven|[sound:일곱.mp3]|[sound:zeven.mp3]|[image:7 (Native).png]
60|2020 01 29|numbers,time,age|8 (Native)|여덟||acht|[sound:여덟.mp3]|[sound:acht.mp3]|[image:8 (Native).png]
61|2020 01 29|numbers,time,age|9 (Native)|아홉||negen|[sound:아홉.mp3]|[sound:negen.mp3]|[image:9 (Native).png]
62||directions|left|||links||[sound:links.mp3]|[image:left.png]
63||directions|right|||rechts||[sound:rechts.mp3]|[image:right.png]
64||directions|backwards|||achteruit||[sound:achteruit.mp3]|[image:backwards.png]
65||directions|forward|||vooruit||[sound:vooruit.mp3]|[image:forward.png]
66||directions|straight ahead|||rechtdoor||[sound:rechtdoor.mp3]|[image:straight ahead.png]
67||directions|entrance|||ingang||[sound:ingang.mp3]|[image:entrance.png]
68||directions|exit|||uitgang||[sound:uitgang.mp3]|[image:exit.png]
69||directions|into|||in||[sound:in.mp3]|[image:into.png]
70||directions|in|||in||[sound:in.mp3]|[image:in.png]
71||directions|out|||uit||[sound:uit.mp3]|[image:out.png]
72||directions|above|||boven||[sound:boven.mp3]|[image:above.png]
73||directions|ontop|||bovenop||[sound:bovenop.mp3]|[image:ontop.png]
74||directions|under|||onder||[sound:onder.mp3]|[image:under.png]
75||directions|below|||beneden||[sound:beneden.mp3]|[image:below.png]
76||directions|beside|||naast||[sound:naast.mp3]|[image:beside.png]
77||directions|behind|||achter||[sound:achter.mp3]|[image:behind.png]
78||directions|before|||voor||[sound:voor.mp3]|[image:before.png]
79||directions|left side|||linkerkant||[sound:linkerkant.mp3]|[image:left side.png]
80||directions|right side|||rechterkant||[sound:rechterkant.mp3]|[image:right side.png]
81||directions|north|||noord||[sound:noord.mp3]|[image:north.png]
82||directions|east |||oost||[sound:oost.mp3]|[image:east .png]
83||directions|west|||west||[sound:west.mp3]|[image:west.png]
84||directions|south|||zuid||[sound:zuid.mp3]|[image:south.png]
85||directions|center||中|centrum||[sound:centrum.mp3]|[image:center.png]
86||directions|north-east|||noordoosten||[sound:noordoosten.mp3]|[image:north-east.png]
87||directions|south-east|||Zuid-Oost||[sound:Zuid-Oost.mp3]|[image:south-east.png]
88||directions|north-west|||Noord West||[sound:Noord West.mp3]|[image:north-west.png]
89||directions|north-west|||Noord West||[sound:Noord West.mp3]|[image:north-west.png]
90||directions|the north||北方|Het noorden||[sound:Het noorden.mp3]|[image:the north.png]
91||directions|the east ||南方|het zuiden||[sound:het zuiden.mp3]|[image:the east .png]
92||directions|the west||东方|het oosten||[sound:het oosten.mp3]|[image:the west.png]
93||directions|the south||西方|het westen||[sound:het westen.mp3]|[image:the south.png]
94||directions|a northerner|||een noorderling||[sound:een noorderling.mp3]|[image:a northerner.png]
95||directions|a southerner|||een zuiderling||[sound:een zuiderling.mp3]|[image:a southerner.png]
96||directions|a westerner|||een westerling||[sound:een westerling.mp3]|[image:a westerner.png]
97||directions|an easterner|||een oosterling||[sound:een oosterling.mp3]|[image:an easterner.png]
98||calender/agenda|days of the week|||dagen van de week||[sound:dagen van de week.mp3]|[image:days of the week.png]
99||calender/agenda|Monday|||maandag||[sound:maandag.mp3]|[image:Monday.png]
100||calender/agenda|Tuesday|||dinsdag||[sound:dinsdag.mp3]|[image:Tuesday.png]
101||calender/agenda|Wednesday|||woensdag||[sound:woensdag.mp3]|[image:Wednesday.png]
102||calender/agenda|Thursday|||donderdag||[sound:donderdag.mp3]|[image:Thursday.png]
103||calender/agenda|Friday|||vrijdag||[sound:vrijdag.mp3]|[image:Friday.png]
104||calender/agenda|Saturday|||zaterdag||[sound:zaterdag.mp3]|[image:Saturday.png]
105||calender/agenda|Sunday|||zondag||[sound:zondag.mp3]|[image:Sunday.png]
106||calender/agenda|months of the year|||maanden van het jaar||[sound:maanden van het jaar.mp3]|[image:months of the year.png]
107||calender/agenda|January|||januari||[sound:januari.mp3]|[image:January.png]
108||calender/agenda|February|||februari||[sound:februari.mp3]|[image:February.png]
109||calender/agenda|March|||maart||[sound:maart.mp3]|[image:March.png]
110||calender/agenda|April|||april||[sound:april.mp3]|[image:April.png]
111||calender/agenda|May|||mei||[sound:mei.mp3]|[image:May.png]
112||calender/agenda|June|||juni||[sound:juni.mp3]|[image:June.png]
113||calender/agenda|July|||juli||[sound:juli.mp3]|[image:July.png]
114||calender/agenda|August|||augustus||[sound:augustus.mp3]|[image:August.png]
115||calender/agenda|September|||september||[sound:september.mp3]|[image:September.png]
116||calender/agenda|October|||oktober||[sound:oktober.mp3]|[image:October.png]
117||calender/agenda|November|||november||[sound:november.mp3]|[image:November.png]
118||calender/agenda|December|||december||[sound:december.mp3]|[image:December.png]
119||calender/agenda|morning|||ochtend||[sound:ochtend.mp3]|[image:morning.png]
120||calender/agenda|afternoon|||middag||[sound:middag.mp3]|[image:afternoon.png]
121||calender/agenda|evening|||avond||[sound:avond.mp3]|[image:evening.png]
122||calender/agenda|night|||nacht||[sound:nacht.mp3]|[image:night.png]
123||calender/agenda|in the morning|||‘s ochtends||[sound:‘s ochtends.mp3]|[image:in the morning.png]
124||calender/agenda|in the afternoon|||‘s middags||[sound:‘s middags.mp3]|[image:in the afternoon.png]
125||calender/agenda|in the evening|||‘s avonds||[sound:‘s avonds.mp3]|[image:in the evening.png]
126||calender/agenda|at night|||‘s nachts||[sound:‘s nachts.mp3]|[image:at night.png]
127||calender/agenda|appointment|||afspraak||[sound:afspraak.mp3]|[image:appointment.png]
128||calender/agenda|date (to have a date)|||afspraaje||[sound:afspraaje.mp3]|[image:date (to have a date).png]
129||calender/agenda|date (the date)|||datum||[sound:datum.mp3]|[image:date (the date).png]
130||calender/agenda|plans|||plannen||[sound:plannen.mp3]|[image:plans.png]
131||calender/agenda|planned|||gepland||[sound:gepland.mp3]|[image:planned.png]
132||calender/agenda|planning|||van plan zijn||[sound:van plan zijn.mp3]|[image:planning.png]
133||calender/agenda|agreed|||afgesproken||[sound:afgesproken.mp3]|[image:agreed.png]
